iter	Passed	Remaining
314	3074	8637
315	3086	8633
316	3093	8617
317	3105	8612
318	3115	8605
319	3123	8588
320	3134	8584
321	3146	8579
322	3153	8563
323	3163	8554
324	3171	8539
325	3183	8533
326	3190	8517
327	3201	8512
328	3210	8499
329	3223	8497
330	3231	8483
331	3242	8476
332	3249	8461
333	3258	8448
334	3266	8433
335	3276	8426
336	3285	8412
337	3295	8404
338	3306	8396
339	3314	8383
340	3326	8379
341	3333	8363
342	3343	8354
343	3351	8339
344	3361	8330
345	3369	8316
346	3377	8302
347	3387	8292
348	3397	8283
349	3405	8269
350	3415	8262
351	3423	8247
352	3436	8245
353	3444	8230
354	3452	8218
355	3460	8203
356	3469	8193
357	3479	8183
358	3488	8172
359	3496	8158
360	3505	8148
361	3513	8134
362	3525	8129
363	3537	8124
364	3545	8110
365	3553	8096
366	3564	8089
367	3571	8074
368	3582	8066
369	3589	8052
370	3600	8045
371	3607	8030
372	3619	8024
373	3626	8009
374	3638	8005
375	3646	7991
376	3658	7987
377	3666	7973
378	3677	7966
379	3685	7953
380	3697	7948
381	3705	7935
382	3718	7931
383	3725	7917
384	3741	7919
385	3750	7909
386	3762	7903
387	3770	7890
388	3779	7880
389	3789	7870
390	3802	7866
391	3809	7852
392	3821	7846
393	3830	7835
394	3841	7829
395	3849	7815
396	3860	7808
397	3868	7794
398	3878	7786
399	3886	7773
400	3897	7766
401	3905	7752
402	3915	7744
403	3923	7731
404	3938	7732
405	3950	7726
406	3958	7713
407	3968	7704
408	3975	7689
409	3987	7682
410	3995	7669
411	4008	7666
412	4020	7661
413	4031	7654
414	4039	7640
415	4050	7633
416	4057	7619
417	4067	7609
418	4078	7601
419	4085	7588
420	4095	7578
421	4103	7565
422	4113	7556
423	4123	7546
424	4131	7533
425	4142	7527
426	4152	7516
427	4160	7503
428	4171	7496
429	4184	7492
430	4194	7483
431	4201	7469
432	4212	7461
433	4219	7447
434	4231	7440
435	4238	7427
436	4248	7418
437	4257	7406
438	4268	7399
439	4276	7385
440	4286	7377
441	4294	7364
442	4305	7357
443	4313	7344
444	4323	7334
445	4332	7323
446	4340	7312
447	4352	7305
448	4360	7292
449	4370	7284
450	4378	7271
451	4391	7267
452	4402	7260
453	4409	7245
454	4419	7235
455	4426	7222
456	4436	7213
457	4444	7200
458	4454	7191
459	4462	7178
460	4474	7172
461	4486	7166
462	4494	7153
463	4504	7144
464	4512	7132
465	4522	7123
466	4530	7111
467	4538	7098
468	4545	7085
469	4556	7076
470	4566	7067
471	4574	7055
472	4582	7043
473	4590	7030
474	4600	7022
475	4608	7010
476	4620	7004
477	4628	6991
478	4639	6984
479	4649	6973
480	4656	6960
481	4666	6951
482	4676	6941
483	4683	6928
484	4692	6917
485	4703	6909
486	4710	6897
487	4720	6887
488	4727	6873
489	4738	6866
490	4745	6852
491	4756	6844
492	4768	6838
493	4775	6825
494	4784	6814
495	4791	6801
496	4803	6794
497	4811	6782
498	4821	6773
499	4829	6761
500	4840	6754
501	4851	6745
502	4859	6733
503	4870	6725
504	4880	6716
505	4890	6707
506	4898	6694
507	4909	6687
508	4916	6674
509	4928	6667
510	4938	6658
511	4948	6649
512	4956	6637
513	4966	6628
514	4974	6616
515	4983	6606
516	4992	6595
517	5002	6586
518	5010	6574
519	5020	6565
520	5028	6552
521	5038	6543
522	5046	6531
523	5057	6525
524	5065	6512
525	5076	6505
526	5087	6497
527	5095	6484
528	5106	6477
529	5113	6464
530	5121	6452
531	5129	6440
532	5140	6433
533	5148	6421
534	5166	6421
535	5174	6410
536	5184	6400
537	5193	6390
538	5208	6387
539	5216	6375
540	5226	6366
541	5234	6354
542	5246	6347
543	5254	6336
544	5265	6328
545	5274	6317
546	5285	6309
547	5292	6297
548	5302	6287
549	5310	6276
550	5322	6269
551	5329	6256
552	5339	6246
553	5346	6234
554	5358	6227
555	5367	6217
556	5379	6210
557	5389	6200
558	5397	6189
559	5405	6178
560	5415	6168
561	5423	6156
562	5433	6148
563	5441	6136
564	5454	6129
565	5465	6122
566	5473	6110
567	5482	6100
568	5490	6088
569	5501	6080
570	5509	6068
571	5517	6057
572	5528	6049
573	5536	6038
574	5544	6026
575	5551	6014
576	5563	6006
577	5570	5994
578	5580	5985
579	5592	5978
580	5600	5966
581	5612	5960
582	5620	5948
583	5630	5939
584	5638	5927
585	5650	5920
586	5658	5908
587	5670	5901
588	5677	5890
589	5689	5882
590	5698	5871
591	5708	5862
592	5715	5850
593	5727	5842
594	5734	5830
595	5745	5822
596	5757	5815
597	5769	5808
598	5777	5796
599	5790	5790
600	5797	5778
601	5808	5770
602	5816	5758
603	5828	5751
604	5836	5740
605	5848	5732
606	5859	5724
607	5867	5712
608	5878	5704
609	5889	5696
610	5896	5684
611	5905	5674
612	5915	5664
613	5926	5655
614	5933	5644
615	5943	5635
616	5951	5623
617	5963	5615
618	5971	5604
619	5983	5597
620	5991	5585
621	5998	5574
622	6006	5563
623	6017	5554
624	6024	5542
625	6036	5534
626	6043	5523
627	6052	5513
628	6062	5503
629	6072	5494
630	6080	5483
631	6091	5474
632	6099	5463
633	6110	5455
634	6121	5446
635	6129	5436
636	6145	5431
637	6154	5421
638	6164	5412
639	6172	5400
640	6179	5388
641	6186	5377
642	6196	5367
643	6204	5356
644	6215	5347
645	6227	5340
646	6238	5332
647	6245	5320
648	6256	5311
649	6264	5300
650	6275	5292
651	6283	5281
652	6293	5271
653	6301	5260
654	6311	5251
655	6319	5240
656	6330	5231
657	6337	5220
658	6348	5211
659	6359	5203
660	6367	5192
661	6377	5182
662	6384	5171
663	6397	5164
664	6405	5153
665	6416	5144
666	6424	5133
667	6436	5125
668	6443	5114
669	6454	5106
670	6464	5096
671	6472	5085
672	6482	5076
673	6490	5065
674	6501	5056
675	6509	5045
676	6520	5036
677	6528	5025
678	6538	5016
679	6546	5005
680	6555	4996
681	6563	4985
682	6575	4977
683	6582	4966
684	6592	4956
685	6600	4945
686	6610	4936
687	6618	4925
688	6626	4914
689	6633	4903
690	6646	4895
691	6653	4884
692	6665	4876
693	6672	4865
694	6682	4855
695	6690	4845
696	6700	4835
697	6709	4825
698	6717	4814
699	6728	4806
700	6737	4795
701	6748	4787
702	6755	4775
703	6766	4767
704	6774	4756
705	6785	4747
706	6792	4736
707	6801	4726
708	6809	4715
709	6820	4706
710	6827	4695
711	6835	4684
712	6844	4675
713	6852	4664
714	6863	4655
715	6874	4646
716	6883	4636
717	6890	4625
718	6898	4614
719	6906	4604
720	6914	4593
721	6922	4583
722	6935	4575
723	6948	4568
724	6955	4557
725	6967	4548
726	6975	4538
727	6982	4527
728	6990	4516
729	7002	4508
730	7009	4497
731	7021	4489
732	7029	4478
733	7036	4467
734	7044	4456
735	7056	4448
736	7063	4437
737	7074	4428
738	7082	4418
739	7093	4409
740	7100	4398
741	7111	4389
742	7122	4380
743	7135	4373
744	7142	4362
745	7152	4352
746	7159	4341
747	7171	4333
748	7180	4323
749	7190	4314
750	7198	4303
751	7206	4293
752	7215	4283
753	7227	4274
754	7234	4264
755	7246	4255
756	7253	4244
757	7280	4245
758	7290	4236
759	7303	4228
760	7310	4217
761	7321	4208
762	7329	4198
763	7340	4188
764	7349	4179
765	7357	4168
766	7367	4159
767	7375	4148
768	7385	4139
769	7393	4128
770	7406	4120
771	7414	4110
772	7424	4101
773	7432	4090
774	7442	4081
775	7450	4070
776	7461	4062
777	7469	4051
778	7479	4042
779	7487	4031
780	7499	4023
781	7506	4012
782	7518	4003
783	7525	3992
784	7532	3982
785	7544	3973
786	7552	3963
787	7563	3954
788	7571	3943
789	7581	3934
790	7589	3924
791	7598	3914
792	7607	3904
793	7614	3893
794	7626	3885
795	7634	3874
796	7646	3866
797	7655	3856
798	7665	3847
799	7673	3836
800	7683	3827
801	7691	3817
802	7701	3807
803	7709	3797
804	7720	3788
805	7732	3780
806	7740	3769
807	7747	3758
808	7755	3748
809	7766	3739
810	7773	3728
811	7784	3719
812	7795	3710
813	7802	3700
814	7812	3690
815	7820	3680
816	7832	3671
817	7840	3661
818	7850	3652
819	7859	3642
820	7869	3632
821	7877	3622
822	7888	3613
823	7896	3603
824	7906	3593
825	7914	3583
826	7925	3574
827	7934	3564
828	7944	3555
829	7952	3544
830	7964	3536
831	7972	3526
832	7982	3516
833	7990	3506
834	8001	3497
835	8009	3487
836	8020	3478
837	8027	3467
838	8039	3459
839	8049	3449
840	8060	3440
841	8067	3430
842	8077	3420
843	8084	3410
844	8094	3400
845	8105	3391
846	8115	3382
847	8125	3372
848	8136	3363
849	8145	3353
850	8156	3344
851	8164	3334
852	8175	3325
853	8185	3316
854	8193	3306
855	8203	3296
856	8211	3286
857	8222	3277
858	8230	3267
859	8240	3257
860	8248	3247
861	8259	3238
862	8267	3228
863	8277	3218
864	8285	3208
865	8296	3199
866	8309	3191
867	8321	3182
868	8331	3173
869	8338	3163
870	8350	3154
871	8357	3143
872	8369	3134
873	8377	3124
874	8386	3115
875	8394	3104
876	8404	3095
877	8415	3086
878	8423	3076
879	8433	3066
880	8440	3056
881	8452	3047
882	8460	3037
883	8470	3028
884	8478	3017
885	8488	3008
886	8498	2998
887	8505	2988
888	8517	2979
889	8524	2969
890	8536	2960
891	8543	2950
892	8555	2941
893	8563	2931
894	8574	2922
895	8582	2911
896	8592	2902
897	8600	2892
898	8609	2882
899	8617	2872
900	8625	2862
901	8634	2852
902	8642	2842
903	8654	2833
904	8661	2823
905	8673	2814
906	8681	2804
907	8693	2795
908	8701	2785
909	8712	2776
910	8720	2766
911	8731	2757
912	8743	2748
913	8755	2739
914	8762	2729
915	8774	2720
916	8782	2710
917	8790	2700
918	8797	2690
919	8807	2680
920	8819	2671
921	8835	2664
922	8846	2654
923	8854	2644
924	8868	2636
925	8878	2626
926	8891	2618
927	8899	2608
928	8911	2599
929	8920	2589
930	8934	2581
931	8943	2571
932	8954	2562
933	8961	2552
934	8973	2543
935	8983	2533
936	8995	2524
937	9003	2514
938	9014	2505
939	9024	2496
940	9037	2487
941	9045	2477
942	9057	2468
943	9065	2458
944	9077	2449
945	9088	2440
946	9100	2431
947	9108	2421
948	9120	2412
949	9127	2402
950	9138	2392
951	9146	2382
952	9155	2372
953	9163	2362
954	9175	2353
955	9183	2343
956	9194	2334
957	9204	2325
958	9216	2316
959	9223	2305
960	9233	2296
961	9244	2287
962	9252	2277
963	9261	2267
964	9269	2257
965	9281	2248
966	9289	2238
967	9297	2228
968	9305	2218
969	9317	2209
970	9326	2199
971	9336	2190
972	9346	2180
973	9358	2171
974	9366	2161
975	9378	2152
976	9385	2142
977	9396	2132
978	9403	2122
979	9415	2113
980	9422	2103
981	9434	2094
982	9442	2084
983	9452	2074
984	9459	2064
985	9471	2055
986	9483	2046
987	9494	2037
988	9501	2027
989	9512	2017
990	9520	2007
991	9528	1997
992	9539	1988
993	9547	1978
994	9558	1969
995	9566	1959
996	9578	1950
997	9586	1940
998	9598	1931
999	9605	1921
1000	9614	1911
1001	9625	1902
1002	9633	1892
1003	9644	1882
1004	9655	1873
1005	9663	1863
1006	9674	1854
1007	9681	1844
1008	9693	1834
1009	9705	1825
1010	9712	1815
1011	9722	1806
1012	9732	1796
1013	9740	1786
1014	9751	1777
1015	9762	1767
1016	9773	1758
1017	9783	1749
1018	9790	1739
1019	9800	1729
1020	9808	1719
1021	9817	1709
1022	9828	1700
1023	9836	1690
1024	9847	1681
1025	9855	1671
1026	9864	1661
1027	9872	1651
1028	9884	1642
1029	9891	1632
1030	9903	1623
1031	9915	1614
1032	9923	1604
1033	9934	1594
1034	9942	1584
1035	9953	1575
1036	9964	1566
1037	9971	1556
1038	9982	1546
1039	9991	1537
1040	9999	1527
1041	10009	1517
1042	10016	1507
1043	10028	1498
1044	10036	1488
1045	10048	1479
1046	10056	1469
1047	10069	1460
1048	10077	1450
1049	10088	1441
1050	10096	1431
1051	10107	1422
1052	10115	1412
1053	10126	1402
1054	10133	1392
1055	10145	1383
1056	10153	1373
1057	10161	1363
1058	10171	1354
1059	10183	1344
1060	10196	1335
1061	10207	1326
1062	10219	1317
1063	10226	1307
1064	10238	1297
1065	10245	1287
1066	10255	1278
1067	10266	1268
1068	10275	1259
1069	10285	1249
1070	10293	1239
1071	10304	1230
1072	10312	1220
1073	10319	1210
1074	10327	1200
1075	10338	1191
1076	10350	1182
1077	10358	1172
1078	10368	1162
1079	10376	1152
1080	10387	1143
1081	10395	1133
1082	10407	1124
1083	10414	1114
1084	10422	1104
1085	10430	1094
1086	10441	1085
1087	10449	1075
1088	10459	1066
1089	10470	1056
1090	10478	1046
1091	10489	1037
1092	10497	1027
1093	10514	1018
1094	10523	1009
1095	10534	999
1096	10543	989
1097	10553	980
1098	10560	970
1099	10572	961
1100	10580	951
1101	10590	941
1102	10597	932
1103	10610	922
1104	10617	912
1105	10627	903
1106	10635	893
1107	10645	883
1108	10654	874
1109	10665	864
1110	10674	855
1111	10685	845
1112	10693	835
1113	10705	826
1114	10714	816
1115	10726	807
1116	10733	797
1117	10743	787
1118	10753	778
1119	10763	768
1120	10772	759
1121	10786	749
1122	10794	740
1123	10804	730
1124	10812	720
1125	10822	711
1126	10829	701
1127	10839	691
1128	10851	682
1129	10859	672
1130	10870	663
1131	10880	653
1132	10888	643
1133	10899	634
1134	10906	624
1135	10917	615
1136	10924	605
1137	10932	595
1138	10942	586
1139	10951	576
1140	10961	566
1141	10971	557
1142	10979	547
1143	10987	537
1144	10995	528
1145	11005	518
1146	11013	508
1147	11024	499
1148	11031	489
1149	11042	480
1150	11053	470
1151	11063	460
1152	11072	451
1153	11083	441
1154	11091	432
1155	11102	422
1156	11110	412
1157	11122	403
1158	11130	393
1159	11143	384
1160	11150	374
1161	11160	364
1162	11168	355
1163	11180	345
1164	11190	336
1165	11201	326
1166	11209	316
1167	11220	307
1168	11229	297
1169	11237	288
1170	11249	278
1171	11260	269
1172	11268	259
1173	11279	249
1174	11287	240
1175	11298	230
1176	11306	220
1177	11316	211
1178	11327	201
1179	11335	192
1180	11347	182
1181	11355	172
1182	11365	163
1183	11372	153
1184	11382	144
1185	11390	134
1186	11399	124
1187	11408	115
1188	11416	105
1189	11424	96
1190	11432	86
1191	11442	76
1192	11450	67
1193	11461	57
1194	11473	48
1195	11481	38
1196	11492	28
1197	11500	19
1198	11512	9
1199	11520	0
