iter	MultiClass
0	1.069334487
1	1.046686361
2	1.023334518
3	1.001376745
4	0.9815660662
5	0.9649192041
6	0.9478970606
7	0.9318992875
8	0.9178683893
9	0.9032763921
10	0.8918733572
11	0.8785730286
12	0.8663358852
13	0.8564349143
14	0.848211901
15	0.8389887013
16	0.829274485
17	0.8197799233
18	0.8111259721
19	0.8045339943
20	0.7979775664
21	0.7911953892
22	0.7852114116
23	0.7793287037
24	0.7740075772
25	0.7691781928
26	0.7636777569
27	0.757976907
28	0.7534771733
29	0.7492510019
30	0.7453028243
31	0.7414888656
32	0.7376505127
33	0.7338604991
34	0.729088525
35	0.7246729869
36	0.7207758541
37	0.7175770176
38	0.7143295507
39	0.7118576331
40	0.7089780878
41	0.7069061071
42	0.7045181832
43	0.7017037546
44	0.6992500263
45	0.6960882922
46	0.6938924082
47	0.6920640552
48	0.6903266385
49	0.687746007
50	0.6857442041
51	0.6832033435
52	0.6809030638
53	0.6785408447
54	0.677485226
55	0.6757046357
56	0.6741056767
57	0.6722394549
58	0.6695820666
59	0.6683024629
60	0.667988167
61	0.666804887
62	0.6653400666
63	0.6638658141
64	0.6626816141
65	0.6618951512
66	0.660461546
67	0.6596058986
68	0.6579841067
69	0.6564289216
70	0.6554605564
71	0.6537117032
72	0.6518754956
73	0.650722794
74	0.6489694559
75	0.6485979071
76	0.6470083078
77	0.6460460937
78	0.6445594633
79	0.6433688226
80	0.6424956482
81	0.641464947
82	0.6402626446
83	0.6384899324
84	0.6370803564
85	0.6361731148
86	0.6353219102
87	0.6336810844
88	0.6322487228
89	0.6310442111
90	0.6298688809
91	0.6290328085
92	0.6282634565
93	0.6279288612
94	0.626671372
95	0.6259708295
96	0.6254734417
97	0.6246655263
98	0.6242427726
99	0.6229295018
100	0.6216726958
101	0.6206956368
102	0.6199044118
103	0.6190007345
104	0.6178383892
105	0.6169006268
106	0.615229103
107	0.6141334967
108	0.6129838933
109	0.6125801902
110	0.6120943574
111	0.6112206706
112	0.6100056921
113	0.6087284567
114	0.6082819382
115	0.606915406
116	0.6064088725
117	0.6055687237
118	0.6047337947
119	0.6038453532
120	0.6026967395
121	0.6018626378
